Codigo_Transacao,CPF_Cliente,Nome_Cliente,Data_Transacao,Moeda,Valor_Transacao,Tipo_Transacao,Status_Transacao,Categoria,Banco,Num_Parcelas,Taxa_Servico,Valor_Final
FIN000384,402.805.276-85,Carolina Azevedo,2023-05-17,BRL,13126.98,Saque,Aprovada,Vestuário,Inter,6,378.83,14745.41
FIN000611,802.860.512-48,Leonardo Braga,2023-12-10,BRL,65634.9,PIX,Pendente,Alimentação,C6 Bank,12,277.7,65912.59999999999
FIN000453,577.633.880-43,Rodrigo Farias,2023-07-19,BRL,19888.83,Depósito,Pendente,Vestuário,C6 Bank,6,433.13,20321.96
FIN000853,844.250.661-51,Isabela Nunes,2024-07-18,BRL,10550.36,Depósito,,Viagem,BTG,12,273.48,10823.84
FIN000437,666.874.247-51,Guilherme Mota,2023-07-04,BRL,17012.58,Pagamento,Pendente,Moradia,Inter,2,405.76,17418.34
FIN000692,682.397.833-52,Guilherme Mota,2024-02-22,BRL,9182.97,Depósito,Aprovada,Viagem,XP,2,73.88,9256.85
FIN000908,989.317.501-93,Amanda Vieira,2024-09-06,BRL,992.15,PIX,Recusada,Viagem,XP,12,16.42,1008.57
FIN000519,813.170.817-77,Marcelo Teixeira,2023-09-17,BRL,16034.24,Depósito,Pendente,Vestuário,BTG,1,95.29,16129.53
FIN000023,982.428.326-41,Juliana Queiroz,2022-06-21,BRL,7342.11,Saque,Recusada,Tecnologia,C6 Bank,2,85.13,7427.24
FIN000172,478.332.761-26,Camila Rocha,2022-11-04,BRL,14597.34,Pagamento,Recusada,Vestuário,XP,1,150.91,14748.25
FIN000595,993.112.118-61,Thiago Cavalcanti,2023-11-25,BRL,11291.81,Depósito,Recusada,Viagem,XP,24,116.52,11408.33
FIN000671,601.196.492-92,Rodrigo Farias Farias,,BRL,22971.63,Pagamento,Recusada,Moradia,BTG,3,288.66,23260.29
FIN000606,550.590.909-52,Rodrigo Farias,2023-12-05,BRL,14744.97,Depósito,Recusada,Vestuário,C6 Bank,12,197.19,14942.16
FIN000132,318.602.632-96,Juliana Queiroz,2022-09-28,BRL,15039.61,PIX,Recusada,Investimento,BTG,24,197.81,15237.42
FIN000125,984.673.912-52,Rafael Macedo,2022-09-22,BRL,19421.76,Depósito,Recusada,Vestuário,Inter,12,366.57,19788.33
FIN000880,174.467.559-79,Thiago Cavalcanti,2024-08-12,BRL,20991.23,PIX,Aprovada,Tecnologia,Inter,6,387.48,21378.71
FIN000699,276.131.380-14,Henrique Pinto,2024-02-28,BRL,24744.59,Saque,Aprovada,Viagem,Banco do Brasil,24,556.88,25301.47
FIN000809,110.591.803-24,Beatriz Lopes,2024-06-08,BRL,4077.85,Depósito,Pendente,Viagem,XP,24,120.65,4198.5
FIN000139,497.275.243-93,Amanda Vieira,2022-10-05,BRL,16457.51,Transferência,Aprovada,Vestuário,C6 Bank,3,103.13,16560.64
FIN000700,813.853.520-76,Marcelo Teixeira,2024-02-29,BRL,20231.4,Saque,Pendente,Moradia,Banco do Brasil,3,182.07,20413.47
FIN000688,703.594.535-43,Leticia Moura,2024-02-18,BRL,14864.09,Transferência,Aprovada,Alimentação,C6 Bank,24,82.09,14946.18
FIN000216,149.959.778-60,Carolina Azevedo,2022-12-14,BRL,8363.23,Pagamento,Aprovada,Moradia,XP,12,207.95,8571.18
FIN000941,263.502.442-97,Thiago Cavalcanti,2024-10-07,BRL,13126.98,Saque,Pendente,Viagem,BTG,3,458.33,25417.43
FIN000004,117.761.562-23,Henrique Pinto,2022-06-03,BRL,834.59,Depósito,,Vestuário,BTG,12,20.93,855.52
FIN000438,359.456.343-12,Guilherme Mota,2023-07-05,BRL,17185.34,Saque,Aprovada,Tecnologia,Banco do Brasil,1,384.15,17569.49
FIN000694,838.322.896-96,Vanessa Coelho,2024-02-24,BRL,20856.06,PIX,Pendente,Viagem,C6 Bank,6,357.28,21213.34
FIN000594,847.767.608-63,Diego Peixoto,2023-11-24,BRL,13126.98,Saque,Pendente,Vestuário,XP,3,37.57,13164.55
